Time: 4.77, Batches: 0, Avrg loss: 0.2045
Time: 19.06, Batches: 100, Avrg loss: 4.6356
Time: 32.27, Batches: 200, Avrg loss: 4.0015
Time: 46.37, Batches: 300, Avrg loss: 3.0708
Time: 61.92, Batches: 400, Avrg loss: 3.1505
Time: 76.90, Batches: 500, Avrg loss: 2.7235
Time: 91.87, Batches: 600, Avrg loss: 3.6852
Time: 106.51, Batches: 700, Avrg loss: 4.6139
Time: 121.96, Batches: 800, Avrg loss: 4.9660
Time: 137.30, Batches: 900, Avrg loss: 3.3627
Time: 152.72, Batches: 1000, Avrg loss: 5.0160
Time: 167.82, Batches: 1100, Avrg loss: 3.4493
Time: 183.10, Batches: 1200, Avrg loss: 4.6412
Time: 198.52, Batches: 1300, Avrg loss: 4.4302
Time: 214.25, Batches: 1400, Avrg loss: 3.5637
Time: 229.03, Batches: 1500, Avrg loss: 2.9469
Time: 243.22, Batches: 1600, Avrg loss: 4.7003
Time: 257.71, Batches: 1700, Avrg loss: 3.4401
Time: 273.32, Batches: 1800, Avrg loss: 3.0090
Time: 288.58, Batches: 1900, Avrg loss: 3.0959
Time: 304.46, Batches: 2000, Avrg loss: 4.8011
Time: 319.79, Batches: 2100, Avrg loss: 3.3175
Time: 335.06, Batches: 2200, Avrg loss: 3.9109
Time: 350.16, Batches: 2300, Avrg loss: 5.0234
Time: 365.76, Batches: 2400, Avrg loss: 4.7920
Time: 380.97, Batches: 2500, Avrg loss: 4.4311
Time: 396.48, Batches: 2600, Avrg loss: 5.1033
Time: 411.72, Batches: 2700, Avrg loss: 3.7466
Time: 426.81, Batches: 2800, Avrg loss: 3.6452
Time: 442.54, Batches: 2900, Avrg loss: 3.3772
Time: 458.32, Batches: 3000, Avrg loss: 3.3847
Time: 472.78, Batches: 3100, Avrg loss: 4.1373
Time: 486.89, Batches: 3200, Avrg loss: 3.9812
Time: 500.64, Batches: 3300, Avrg loss: 5.2557
Time: 514.06, Batches: 3400, Avrg loss: 4.7333
Time: 528.98, Batches: 3500, Avrg loss: 3.3930
Time: 544.40, Batches: 3600, Avrg loss: 4.6422
Time: 559.71, Batches: 3700, Avrg loss: 4.8964
Time: 574.46, Batches: 3800, Avrg loss: 3.0874
Time: 590.03, Batches: 3900, Avrg loss: 4.1349
Time: 605.28, Batches: 4000, Avrg loss: 4.1795
Time: 621.10, Batches: 4100, Avrg loss: 4.1795
Time: 636.33, Batches: 4200, Avrg loss: 4.9136
Time: 651.90, Batches: 4300, Avrg loss: 3.7986
Time: 666.96, Batches: 4400, Avrg loss: 4.7539
Time: 682.76, Batches: 4500, Avrg loss: 4.3539
Time: 698.33, Batches: 4600, Avrg loss: 2.3149
Time: 712.74, Batches: 4700, Avrg loss: 4.6801
Time: 726.87, Batches: 4800, Avrg loss: 4.4731
Time: 740.58, Batches: 4900, Avrg loss: 5.6616
Time: 754.36, Batches: 5000, Avrg loss: 5.4307
Time: 769.08, Batches: 5100, Avrg loss: 4.3758
Time: 784.84, Batches: 5200, Avrg loss: 4.5978
Time: 800.17, Batches: 5300, Avrg loss: 5.0718
Time: 815.14, Batches: 5400, Avrg loss: 4.2493
Time: 830.30, Batches: 5500, Avrg loss: 4.5872
Time: 846.64, Batches: 5600, Avrg loss: 3.9949
Time: 866.92, Batches: 5700, Avrg loss: 4.4455
Time: 886.03, Batches: 5800, Avrg loss: 4.0245
Time: 901.06, Batches: 5900, Avrg loss: 5.9347
Time: 916.22, Batches: 6000, Avrg loss: 3.7377
Time: 931.66, Batches: 6100, Avrg loss: 3.2535
Time: 946.58, Batches: 6200, Avrg loss: 4.7892
Time: 962.30, Batches: 6300, Avrg loss: 5.0898
Time: 978.58, Batches: 6400, Avrg loss: 6.4005
Time: 992.59, Batches: 6500, Avrg loss: 3.8205
Time: 1007.37, Batches: 6600, Avrg loss: 3.4702
Time: 1022.98, Batches: 6700, Avrg loss: 2.9391
Time: 1038.37, Batches: 6800, Avrg loss: 3.2903
Time: 1053.60, Batches: 6900, Avrg loss: 2.0771
Time: 1069.24, Batches: 7000, Avrg loss: 3.0873
Time: 1084.84, Batches: 7100, Avrg loss: 4.4837
Time: 1100.53, Batches: 7200, Avrg loss: 3.9172
Time: 1115.63, Batches: 7300, Avrg loss: 3.6464
Time: 1131.07, Batches: 7400, Avrg loss: 4.9766
Time: 1146.28, Batches: 7500, Avrg loss: 5.7091
Time: 1162.08, Batches: 7600, Avrg loss: 4.9979
Time: 1177.56, Batches: 7700, Avrg loss: 4.8626
Time: 1192.07, Batches: 7800, Avrg loss: 5.0814
Time: 1206.25, Batches: 7900, Avrg loss: 2.2947
Time: 1220.14, Batches: 8000, Avrg loss: 2.5677
Time: 1233.55, Batches: 8100, Avrg loss: 2.7321
Time: 1248.08, Batches: 8200, Avrg loss: 3.9054
Time: 1263.64, Batches: 8300, Avrg loss: 4.9733
Time: 1278.86, Batches: 8400, Avrg loss: 5.7803
Time: 1293.79, Batches: 8500, Avrg loss: 5.4420
Time: 1309.05, Batches: 8600, Avrg loss: 4.4830
Time: 1324.33, Batches: 8700, Avrg loss: 4.9422
Time: 1338.50, Batches: 8800, Avrg loss: 4.1873
Time: 1352.39, Batches: 8900, Avrg loss: 4.5083
Time: 1366.74, Batches: 9000, Avrg loss: 5.1550
Time: 1382.21, Batches: 9100, Avrg loss: 5.9083
Time: 1397.73, Batches: 9200, Avrg loss: 5.6800
Time: 1413.04, Batches: 9300, Avrg loss: 6.1536
Time: 1427.78, Batches: 9400, Avrg loss: 5.1868
Time: 1442.13, Batches: 9500, Avrg loss: 5.7039
Time: 1457.07, Batches: 9600, Avrg loss: 6.6268
Time: 1473.26, Batches: 9700, Avrg loss: 4.9774
Time: 1488.65, Batches: 9800, Avrg loss: 5.7947
Time: 1504.33, Batches: 9900, Avrg loss: 5.2740
Time: 1519.57, Batches: 10000, Avrg loss: 4.8587
Time: 1534.98, Batches: 10100, Avrg loss: 4.7399
Time: 1550.54, Batches: 10200, Avrg loss: 4.2645
Time: 1566.37, Batches: 10300, Avrg loss: 4.8440
Time: 1581.77, Batches: 10400, Avrg loss: 3.4211
Time: 1597.33, Batches: 10500, Avrg loss: 3.7881
Time: 1612.68, Batches: 10600, Avrg loss: 3.3448
Time: 1628.22, Batches: 10700, Avrg loss: 4.5501
Time: 1644.08, Batches: 10800, Avrg loss: 3.4323
Time: 1660.35, Batches: 10900, Avrg loss: 3.6253
Time: 1674.44, Batches: 11000, Avrg loss: 3.1088
Time: 1688.72, Batches: 11100, Avrg loss: 4.7293
Time: 1703.92, Batches: 11200, Avrg loss: 4.0509
Time: 1719.45, Batches: 11300, Avrg loss: 4.3180
Time: 1735.01, Batches: 11400, Avrg loss: 5.5873
Time: 1750.95, Batches: 11500, Avrg loss: 5.5056
Time: 1765.77, Batches: 11600, Avrg loss: 4.3753
Time: 1781.14, Batches: 11700, Avrg loss: 5.3414
Time: 1796.52, Batches: 11800, Avrg loss: 4.6256
Time: 1812.82, Batches: 11900, Avrg loss: 3.5089
Time: 1828.30, Batches: 12000, Avrg loss: 4.6495
Time: 1843.93, Batches: 12100, Avrg loss: 2.9829
Time: 1859.32, Batches: 12200, Avrg loss: 4.3531
Time: 1874.78, Batches: 12300, Avrg loss: 4.8129
Time: 1891.04, Batches: 12400, Avrg loss: 4.3477
Time: 1906.27, Batches: 12500, Avrg loss: 4.5800
Time: 1920.93, Batches: 12600, Avrg loss: 5.5248
Time: 1935.58, Batches: 12700, Avrg loss: 5.4939
Time: 1951.19, Batches: 12800, Avrg loss: 5.3135
Time: 1966.52, Batches: 12900, Avrg loss: 4.1929
Time: 1982.51, Batches: 13000, Avrg loss: 4.5161
Time: 1999.28, Batches: 13100, Avrg loss: 3.7719
Time: 2014.87, Batches: 13200, Avrg loss: 4.4224
Time: 2030.42, Batches: 13300, Avrg loss: 3.0503
Time: 2046.08, Batches: 13400, Avrg loss: 3.3618
Time: 2061.45, Batches: 13500, Avrg loss: 4.6373
Time: 2076.73, Batches: 13600, Avrg loss: 4.9669
Time: 2092.18, Batches: 13700, Avrg loss: 4.6437
Time: 2107.83, Batches: 13800, Avrg loss: 4.7754
Time: 2123.51, Batches: 13900, Avrg loss: 5.4215
Time: 2139.39, Batches: 14000, Avrg loss: 4.2506
Time: 2154.65, Batches: 14100, Avrg loss: 4.7960
Time: 2168.12, Batches: 14200, Avrg loss: 4.8669
Time: 2181.41, Batches: 14300, Avrg loss: 3.7844
Time: 2194.99, Batches: 14400, Avrg loss: 5.7949
Time: 2209.46, Batches: 14500, Avrg loss: 5.8841
Time: 2225.20, Batches: 14600, Avrg loss: 5.5126
Time: 2240.39, Batches: 14700, Avrg loss: 5.0693
Time: 2255.36, Batches: 14800, Avrg loss: 5.2422
Time: 2270.51, Batches: 14900, Avrg loss: 4.6172
Time: 2285.96, Batches: 15000, Avrg loss: 5.2562
Time: 2299.83, Batches: 15100, Avrg loss: 5.2792
Time: 2313.15, Batches: 15200, Avrg loss: 6.6107
Time: 2327.83, Batches: 15300, Avrg loss: 5.2073
Time: 2343.12, Batches: 15400, Avrg loss: 5.1461
Time: 2358.62, Batches: 15500, Avrg loss: 5.4429
Time: 2374.18, Batches: 15600, Avrg loss: 5.3813
Time: 2389.21, Batches: 15700, Avrg loss: 4.7181
