Time: 3.62, Batches: 0, Avrg loss: 0.3861
Time: 9.09, Batches: 100, Avrg loss: 3.4794
Time: 15.15, Batches: 200, Avrg loss: 4.8691
Time: 21.07, Batches: 300, Avrg loss: 3.3614
Time: 27.02, Batches: 400, Avrg loss: 4.3004
Time: 33.03, Batches: 500, Avrg loss: 3.2483
Time: 39.00, Batches: 600, Avrg loss: 3.3387
Time: 45.12, Batches: 700, Avrg loss: 4.0702
Time: 51.34, Batches: 800, Avrg loss: 3.1502
Time: 57.48, Batches: 900, Avrg loss: 5.0202
Time: 63.54, Batches: 1000, Avrg loss: 5.5916
Time: 69.51, Batches: 1100, Avrg loss: 4.4694
Time: 75.50, Batches: 1200, Avrg loss: 2.4807
Time: 81.81, Batches: 1300, Avrg loss: 1.5272
Time: 88.01, Batches: 1400, Avrg loss: 2.1350
Time: 94.14, Batches: 1500, Avrg loss: 1.3739
Time: 100.17, Batches: 1600, Avrg loss: 2.2563
Time: 106.44, Batches: 1700, Avrg loss: 2.9672
Time: 112.76, Batches: 1800, Avrg loss: 5.0484
Time: 118.88, Batches: 1900, Avrg loss: 6.0821
Time: 124.99, Batches: 2000, Avrg loss: 2.9026
Time: 131.11, Batches: 2100, Avrg loss: 1.8855
Time: 137.23, Batches: 2200, Avrg loss: 2.0626
Time: 143.51, Batches: 2300, Avrg loss: 1.6416
Time: 149.66, Batches: 2400, Avrg loss: 5.5180
Time: 155.79, Batches: 2500, Avrg loss: 3.4730
Time: 161.90, Batches: 2600, Avrg loss: 3.7023
Time: 168.07, Batches: 2700, Avrg loss: 4.9022
Time: 174.56, Batches: 2800, Avrg loss: 1.6328
Time: 180.94, Batches: 2900, Avrg loss: 1.9079
Time: 187.21, Batches: 3000, Avrg loss: 1.5354
Time: 193.61, Batches: 3100, Avrg loss: 2.9288
Time: 199.65, Batches: 3200, Avrg loss: 3.2401
Time: 205.51, Batches: 3300, Avrg loss: 2.3163
Time: 211.58, Batches: 3400, Avrg loss: 5.4779
Time: 217.49, Batches: 3500, Avrg loss: 3.4459
Time: 223.43, Batches: 3600, Avrg loss: 3.8719
Time: 229.46, Batches: 3700, Avrg loss: 1.9302
Time: 235.64, Batches: 3800, Avrg loss: 3.4222
Time: 242.10, Batches: 3900, Avrg loss: 5.5164
Time: 248.40, Batches: 4000, Avrg loss: 5.8413
Time: 254.64, Batches: 4100, Avrg loss: 2.7335
Time: 260.90, Batches: 4200, Avrg loss: 4.0764
Time: 267.02, Batches: 4300, Avrg loss: 4.5832
Time: 273.54, Batches: 4400, Avrg loss: 5.3024
Time: 279.77, Batches: 4500, Avrg loss: 5.1335
Time: 285.97, Batches: 4600, Avrg loss: 5.7818
Time: 292.20, Batches: 4700, Avrg loss: 5.4461
Time: 298.34, Batches: 4800, Avrg loss: 6.6624
Time: 304.69, Batches: 4900, Avrg loss: 5.5734
Time: 310.94, Batches: 5000, Avrg loss: 5.6859
Time: 317.27, Batches: 5100, Avrg loss: 3.8099
Time: 323.52, Batches: 5200, Avrg loss: 3.2988
Time: 329.70, Batches: 5300, Avrg loss: 3.5703
Time: 336.08, Batches: 5400, Avrg loss: 5.3548
Time: 342.38, Batches: 5500, Avrg loss: 5.3615
Time: 348.63, Batches: 5600, Avrg loss: 4.2345
Time: 354.92, Batches: 5700, Avrg loss: 5.4150
Time: 361.19, Batches: 5800, Avrg loss: 4.9182
Time: 367.48, Batches: 5900, Avrg loss: 3.6241
Time: 373.77, Batches: 6000, Avrg loss: 2.9941
Time: 380.12, Batches: 6100, Avrg loss: 2.8883
Time: 386.28, Batches: 6200, Avrg loss: 4.8082
Time: 392.60, Batches: 6300, Avrg loss: 5.8947
Time: 398.74, Batches: 6400, Avrg loss: 5.0854
Time: 405.02, Batches: 6500, Avrg loss: 3.1383
Time: 411.39, Batches: 6600, Avrg loss: 2.0874
