Time: 5.35, Batches: 0, Avrg loss: 0.2390
Time: 13.71, Batches: 100, Avrg loss: 6.8890
Time: 21.81, Batches: 200, Avrg loss: 5.0938
Time: 30.16, Batches: 300, Avrg loss: 4.2496
Time: 38.40, Batches: 400, Avrg loss: 3.5178
Time: 46.52, Batches: 500, Avrg loss: 3.1136
Time: 54.71, Batches: 600, Avrg loss: 5.3274
Time: 62.75, Batches: 700, Avrg loss: 2.1466
Time: 71.06, Batches: 800, Avrg loss: 1.4348
Time: 79.32, Batches: 900, Avrg loss: 3.7426
Time: 87.55, Batches: 1000, Avrg loss: 5.2744
Time: 96.04, Batches: 1100, Avrg loss: 4.0916
Time: 105.25, Batches: 1200, Avrg loss: 3.1848
Time: 114.38, Batches: 1300, Avrg loss: 3.1840
Time: 123.57, Batches: 1400, Avrg loss: 3.9362
Time: 132.03, Batches: 1500, Avrg loss: 5.1724
Time: 141.10, Batches: 1600, Avrg loss: 2.7623
Time: 150.02, Batches: 1700, Avrg loss: 4.5142
Time: 158.75, Batches: 1800, Avrg loss: 2.8938
Time: 167.49, Batches: 1900, Avrg loss: 2.1065
Time: 176.43, Batches: 2000, Avrg loss: 3.1780
Time: 185.08, Batches: 2100, Avrg loss: 2.8190
Time: 193.87, Batches: 2200, Avrg loss: 2.8868
Time: 202.88, Batches: 2300, Avrg loss: 3.5612
Time: 211.46, Batches: 2400, Avrg loss: 2.7908
Time: 220.20, Batches: 2500, Avrg loss: 3.5998
Time: 229.01, Batches: 2600, Avrg loss: 4.1878
Time: 237.81, Batches: 2700, Avrg loss: 3.6448
Time: 246.59, Batches: 2800, Avrg loss: 3.7795
Time: 255.31, Batches: 2900, Avrg loss: 5.6477
Time: 264.09, Batches: 3000, Avrg loss: 4.0928
Time: 272.80, Batches: 3100, Avrg loss: 5.4807
Time: 281.21, Batches: 3200, Avrg loss: 4.7810
Time: 289.68, Batches: 3300, Avrg loss: 5.2057
Time: 298.36, Batches: 3400, Avrg loss: 4.0493
Time: 307.20, Batches: 3500, Avrg loss: 2.6560
Time: 316.40, Batches: 3600, Avrg loss: 1.7094
Time: 325.54, Batches: 3700, Avrg loss: 3.1080
Time: 334.57, Batches: 3800, Avrg loss: 4.1366
Time: 343.67, Batches: 3900, Avrg loss: 2.0918
Time: 352.78, Batches: 4000, Avrg loss: 3.4565
Time: 361.98, Batches: 4100, Avrg loss: 3.6487
Time: 370.52, Batches: 4200, Avrg loss: 3.3895
Time: 379.04, Batches: 4300, Avrg loss: 2.9122
Time: 387.73, Batches: 4400, Avrg loss: 4.4012
Time: 396.53, Batches: 4500, Avrg loss: 4.3483
Time: 405.71, Batches: 4600, Avrg loss: 3.5400
Time: 415.09, Batches: 4700, Avrg loss: 3.7601
Time: 424.45, Batches: 4800, Avrg loss: 5.6642
Time: 433.12, Batches: 4900, Avrg loss: 3.4536
Time: 441.47, Batches: 5000, Avrg loss: 3.1759
Time: 450.01, Batches: 5100, Avrg loss: 3.8304
Time: 458.99, Batches: 5200, Avrg loss: 4.2897
Time: 467.72, Batches: 5300, Avrg loss: 3.9259
Time: 476.34, Batches: 5400, Avrg loss: 5.6401
Time: 485.13, Batches: 5500, Avrg loss: 4.9499
Time: 493.84, Batches: 5600, Avrg loss: 3.1736
Time: 502.65, Batches: 5700, Avrg loss: 3.2478
Time: 511.23, Batches: 5800, Avrg loss: 5.1079
Time: 519.82, Batches: 5900, Avrg loss: 4.6959
Time: 528.29, Batches: 6000, Avrg loss: 4.4780
Time: 536.65, Batches: 6100, Avrg loss: 5.5316
Time: 545.13, Batches: 6200, Avrg loss: 4.4867
Time: 553.15, Batches: 6300, Avrg loss: 3.7225
Time: 561.13, Batches: 6400, Avrg loss: 3.8978
Time: 569.29, Batches: 6500, Avrg loss: 3.0069
Time: 578.02, Batches: 6600, Avrg loss: 5.3119
Time: 587.08, Batches: 6700, Avrg loss: 4.4294
Time: 596.03, Batches: 6800, Avrg loss: 4.3053
Time: 604.79, Batches: 6900, Avrg loss: 2.0684
Time: 613.31, Batches: 7000, Avrg loss: 5.7299
Time: 621.80, Batches: 7100, Avrg loss: 4.6769
Time: 630.29, Batches: 7200, Avrg loss: 4.6103
Time: 639.25, Batches: 7300, Avrg loss: 5.5634
Time: 648.11, Batches: 7400, Avrg loss: 6.6713
Time: 656.87, Batches: 7500, Avrg loss: 5.1548
Time: 665.44, Batches: 7600, Avrg loss: 3.6768
Time: 674.29, Batches: 7700, Avrg loss: 4.2294
Time: 682.91, Batches: 7800, Avrg loss: 3.6769
Time: 691.68, Batches: 7900, Avrg loss: 3.5577
Time: 700.42, Batches: 8000, Avrg loss: 3.0936
Time: 709.13, Batches: 8100, Avrg loss: 5.0223
Time: 717.93, Batches: 8200, Avrg loss: 4.4596
Time: 726.70, Batches: 8300, Avrg loss: 4.9746
Time: 735.52, Batches: 8400, Avrg loss: 4.6959
Time: 744.46, Batches: 8500, Avrg loss: 4.0718
Time: 753.20, Batches: 8600, Avrg loss: 3.9279
Time: 761.61, Batches: 8700, Avrg loss: 4.0297
Time: 770.09, Batches: 8800, Avrg loss: 5.4011
Time: 778.49, Batches: 8900, Avrg loss: 5.3840
Time: 786.91, Batches: 9000, Avrg loss: 6.4772
Time: 795.11, Batches: 9100, Avrg loss: 3.5793
Time: 803.34, Batches: 9200, Avrg loss: 4.8968
Time: 811.48, Batches: 9300, Avrg loss: 4.8228
Time: 820.45, Batches: 9400, Avrg loss: 3.2107
Time: 830.12, Batches: 9500, Avrg loss: 2.9822
Time: 839.39, Batches: 9600, Avrg loss: 4.2272
Time: 848.11, Batches: 9700, Avrg loss: 4.6265
Time: 856.66, Batches: 9800, Avrg loss: 5.6451
Time: 865.20, Batches: 9900, Avrg loss: 3.9451
Time: 873.57, Batches: 10000, Avrg loss: 4.2347
Time: 882.36, Batches: 10100, Avrg loss: 4.8601
Time: 891.31, Batches: 10200, Avrg loss: 4.6689
Time: 899.99, Batches: 10300, Avrg loss: 3.8288
Time: 908.85, Batches: 10400, Avrg loss: 5.1203
Time: 917.49, Batches: 10500, Avrg loss: 4.7889
Time: 926.32, Batches: 10600, Avrg loss: 4.3486
Time: 935.08, Batches: 10700, Avrg loss: 3.0151
Time: 943.73, Batches: 10800, Avrg loss: 4.8626
Time: 952.59, Batches: 10900, Avrg loss: 3.6366
Time: 961.48, Batches: 11000, Avrg loss: 5.4762
Time: 970.04, Batches: 11100, Avrg loss: 4.6628
Time: 978.76, Batches: 11200, Avrg loss: 4.6888
Time: 987.42, Batches: 11300, Avrg loss: 4.7839
Time: 996.07, Batches: 11400, Avrg loss: 5.6462
Time: 1004.71, Batches: 11500, Avrg loss: 2.6659
Time: 1013.19, Batches: 11600, Avrg loss: 4.2071
Time: 1021.47, Batches: 11700, Avrg loss: 4.2800
Time: 1030.90, Batches: 11800, Avrg loss: 2.3675
Time: 1039.36, Batches: 11900, Avrg loss: 4.2237
Time: 1047.70, Batches: 12000, Avrg loss: 3.2888
Time: 1056.23, Batches: 12100, Avrg loss: 2.9406
Time: 1065.20, Batches: 12200, Avrg loss: 1.4750
Time: 1074.38, Batches: 12300, Avrg loss: 2.7564
Time: 1083.39, Batches: 12400, Avrg loss: 3.5605
Time: 1091.76, Batches: 12500, Avrg loss: 2.5195
Time: 1100.25, Batches: 12600, Avrg loss: 2.5684
Time: 1108.83, Batches: 12700, Avrg loss: 2.1460
Time: 1117.51, Batches: 12800, Avrg loss: 5.2034
Time: 1126.27, Batches: 12900, Avrg loss: 3.2143
Time: 1134.87, Batches: 13000, Avrg loss: 2.7270
Time: 1143.72, Batches: 13100, Avrg loss: 3.4730
Time: 1152.47, Batches: 13200, Avrg loss: 4.5328
Time: 1161.14, Batches: 13300, Avrg loss: 2.6383
Time: 1170.05, Batches: 13400, Avrg loss: 4.2381
Time: 1178.80, Batches: 13500, Avrg loss: 3.6716
Time: 1187.56, Batches: 13600, Avrg loss: 3.4328
Time: 1196.50, Batches: 13700, Avrg loss: 3.2186
Time: 1205.21, Batches: 13800, Avrg loss: 3.1855
Time: 1214.01, Batches: 13900, Avrg loss: 3.4370
Time: 1222.78, Batches: 14000, Avrg loss: 4.3134
Time: 1231.46, Batches: 14100, Avrg loss: 4.1918
Time: 1239.91, Batches: 14200, Avrg loss: 2.9613
Time: 1248.29, Batches: 14300, Avrg loss: 3.3578
Time: 1256.54, Batches: 14400, Avrg loss: 3.2181
Time: 1265.09, Batches: 14500, Avrg loss: 3.5833
Time: 1273.27, Batches: 14600, Avrg loss: 2.7536
Time: 1281.46, Batches: 14700, Avrg loss: 2.7397
Time: 1289.72, Batches: 14800, Avrg loss: 2.3356
Time: 1298.56, Batches: 14900, Avrg loss: 4.2948
Time: 1307.73, Batches: 15000, Avrg loss: 3.5629
Time: 1316.86, Batches: 15100, Avrg loss: 4.5320
Time: 1325.80, Batches: 15200, Avrg loss: 5.0169
Time: 1334.15, Batches: 15300, Avrg loss: 3.7738
Time: 1342.66, Batches: 15400, Avrg loss: 4.9177
Time: 1351.05, Batches: 15500, Avrg loss: 3.4719
Time: 1359.91, Batches: 15600, Avrg loss: 2.5868
Time: 1368.63, Batches: 15700, Avrg loss: 3.3163
Time: 1377.58, Batches: 15800, Avrg loss: 5.4788
Time: 1386.41, Batches: 15900, Avrg loss: 4.5792
Time: 1395.12, Batches: 16000, Avrg loss: 3.9288
Time: 1403.98, Batches: 16100, Avrg loss: 3.2508
Time: 1412.74, Batches: 16200, Avrg loss: 4.2344
Time: 1421.58, Batches: 16300, Avrg loss: 4.3397
Time: 1430.42, Batches: 16400, Avrg loss: 2.9845
Time: 1439.15, Batches: 16500, Avrg loss: 3.5949
Time: 1447.99, Batches: 16600, Avrg loss: 5.3745
Time: 1456.79, Batches: 16700, Avrg loss: 5.0552
Time: 1465.46, Batches: 16800, Avrg loss: 4.4927
Time: 1474.22, Batches: 16900, Avrg loss: 5.5923
Time: 1482.77, Batches: 17000, Avrg loss: 3.9225
Time: 1491.17, Batches: 17100, Avrg loss: 4.2501
Time: 1499.67, Batches: 17200, Avrg loss: 4.1972
Time: 1507.99, Batches: 17300, Avrg loss: 4.9670
Time: 1516.25, Batches: 17400, Avrg loss: 6.3150
Time: 1524.47, Batches: 17500, Avrg loss: 4.7904
Time: 1532.54, Batches: 17600, Avrg loss: 5.0392
Time: 1541.57, Batches: 17700, Avrg loss: 5.6436
Time: 1550.73, Batches: 17800, Avrg loss: 6.6568
Time: 1559.67, Batches: 17900, Avrg loss: 4.3947
Time: 1568.39, Batches: 18000, Avrg loss: 5.2765
Time: 1576.87, Batches: 18100, Avrg loss: 4.1269
Time: 1585.21, Batches: 18200, Avrg loss: 4.8327
Time: 1593.73, Batches: 18300, Avrg loss: 5.5320
Time: 1602.41, Batches: 18400, Avrg loss: 4.9251
Time: 1611.27, Batches: 18500, Avrg loss: 5.0173
Time: 1620.20, Batches: 18600, Avrg loss: 3.3751
Time: 1628.94, Batches: 18700, Avrg loss: 4.8862
Time: 1637.70, Batches: 18800, Avrg loss: 4.7870
Time: 1646.53, Batches: 18900, Avrg loss: 4.5595
Time: 1655.33, Batches: 19000, Avrg loss: 6.4719
Time: 1664.27, Batches: 19100, Avrg loss: 4.1251
Time: 1673.20, Batches: 19200, Avrg loss: 4.1765
Time: 1681.79, Batches: 19300, Avrg loss: 5.9341
Time: 1690.63, Batches: 19400, Avrg loss: 4.5651
Time: 1700.23, Batches: 19500, Avrg loss: 4.3607
Time: 1709.03, Batches: 19600, Avrg loss: 3.7217
Time: 1717.47, Batches: 19700, Avrg loss: 5.8432
Time: 1725.93, Batches: 19800, Avrg loss: 4.1437
Time: 1735.02, Batches: 19900, Avrg loss: 3.1094
Time: 1743.69, Batches: 20000, Avrg loss: 3.5543
Time: 1751.85, Batches: 20100, Avrg loss: 2.6070
Time: 1760.07, Batches: 20200, Avrg loss: 2.7795
Time: 1768.46, Batches: 20300, Avrg loss: 3.6532
Time: 1777.02, Batches: 20400, Avrg loss: 2.4010
Time: 1786.23, Batches: 20500, Avrg loss: 4.4040
Time: 1795.33, Batches: 20600, Avrg loss: 4.2831
Time: 1804.54, Batches: 20700, Avrg loss: 2.6298
Time: 1813.44, Batches: 20800, Avrg loss: 2.0810
Time: 1821.79, Batches: 20900, Avrg loss: 4.2503
Time: 1830.37, Batches: 21000, Avrg loss: 5.5257
Time: 1838.94, Batches: 21100, Avrg loss: 3.8916
Time: 1847.74, Batches: 21200, Avrg loss: 4.8835
Time: 1856.62, Batches: 21300, Avrg loss: 3.5882
Time: 1865.37, Batches: 21400, Avrg loss: 3.2997
Time: 1874.14, Batches: 21500, Avrg loss: 4.0071
Time: 1882.87, Batches: 21600, Avrg loss: 3.6200
Time: 1891.58, Batches: 21700, Avrg loss: 3.7738
Time: 1900.28, Batches: 21800, Avrg loss: 4.1332
Time: 1908.97, Batches: 21900, Avrg loss: 4.5666
Time: 1917.72, Batches: 22000, Avrg loss: 6.0990
Time: 1926.53, Batches: 22100, Avrg loss: 3.6638
Time: 1935.06, Batches: 22200, Avrg loss: 4.9821
Time: 1943.77, Batches: 22300, Avrg loss: 4.9486
Time: 1952.53, Batches: 22400, Avrg loss: 4.2731
Time: 1960.96, Batches: 22500, Avrg loss: 3.4611
Time: 1969.60, Batches: 22600, Avrg loss: 3.6409
Time: 1978.06, Batches: 22700, Avrg loss: 5.4273
Time: 1986.82, Batches: 22800, Avrg loss: 5.0737
Time: 1995.97, Batches: 22900, Avrg loss: 4.2490
Time: 2004.91, Batches: 23000, Avrg loss: 5.8725
Time: 2014.00, Batches: 23100, Avrg loss: 6.8666
Time: 2023.01, Batches: 23200, Avrg loss: 6.1221
Time: 2032.29, Batches: 23300, Avrg loss: 4.7944
Time: 2041.36, Batches: 23400, Avrg loss: 4.2977
Time: 2049.96, Batches: 23500, Avrg loss: 5.5363
Time: 2058.35, Batches: 23600, Avrg loss: 4.4967
Time: 2066.82, Batches: 23700, Avrg loss: 3.7186
Time: 2075.54, Batches: 23800, Avrg loss: 3.1543
Time: 2084.36, Batches: 23900, Avrg loss: 5.6276
Time: 2093.20, Batches: 24000, Avrg loss: 4.2062
Time: 2101.92, Batches: 24100, Avrg loss: 4.2831
Time: 2110.86, Batches: 24200, Avrg loss: 4.1509
Time: 2119.71, Batches: 24300, Avrg loss: 5.4054
Time: 2128.36, Batches: 24400, Avrg loss: 4.4665
Time: 2137.18, Batches: 24500, Avrg loss: 3.4670
Time: 2145.90, Batches: 24600, Avrg loss: 4.3513
Time: 2154.62, Batches: 24700, Avrg loss: 5.3444
Time: 2163.48, Batches: 24800, Avrg loss: 5.4222
Time: 2172.16, Batches: 24900, Avrg loss: 6.3157
Time: 2180.67, Batches: 25000, Avrg loss: 4.8141
Time: 2189.38, Batches: 25100, Avrg loss: 6.4187
Time: 2197.88, Batches: 25200, Avrg loss: 4.4939
Time: 2206.44, Batches: 25300, Avrg loss: 4.4249
Time: 2215.01, Batches: 25400, Avrg loss: 3.0828
